"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" ьсолатичс хадоваз хиксничреН хесв ов ,тел";"в";"лет, во всех Нерчинских заводах считалось ";"в";" ";"бегах невозвращенными: 508 человек горных служителей";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"К 1 января 1859 года, т. е. за 11 лет, во всех Нерчинских заводах считалось в бегах невозвращенными: 508 человек горных служителей и 3104 ссыльных и ссыльнокаторжных, так что, по сравнению с количеством всего сосланного населения в бегах ровно 24%. ";"65590:2372:15"
" яинелесан огонналсос огесв мовтсечилок с юиненварс";"в";"сравнению с количеством всего сосланного населения ";"в";" ";"бегах ровно 24%. ";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"К 1 января 1859 года, т. е. за 11 лет, во всех Нерчинских заводах считалось в бегах невозвращенными: 508 человек горных служителей и 3104 ссыльных и ссыльнокаторжных, так что, по сравнению с количеством всего сосланного населения в бегах ровно 24%. ";"65590:2372:36"
" ьсолшан оген у адог 1581 ярбятнес";"в";"сентября 1851 года у него нашлось ";"в";" ";"бегах, тоже в десятилетней сложности, всех";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"К 1 сентября 1851 года у него нашлось в бегах, тоже в десятилетней сложности, всех беглых 740 мужчин и 5 женщин. ";"65590:2376:8"
" ― ьтыб олатс ― ьсолатсо ,13 юьтсонвад юентелитясед";"в";"десятилетнею давностью 31, осталось ― стало быть ― ";"в";" ";"бегах 716 мужчин и 5 женщин. ";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Из этого числа поймано только 19 человек, исключено за десятилетнею давностью 31, осталось ― стало быть ― в бегах 716 мужчин и 5 женщин. ";"65590:2378:15"
" вецясем хувд ешьлод и илагеб ен";"в";"не бегали и дольше двух месяцев ";"в";" ";"бегах не отдыхали. ";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Служители больше шести раз не бегали и дольше двух месяцев в бегах не отдыхали. ";"65590:2679:10"
" ясмищядохан ,маканрав к картваз и дебо";"в";"обед и завтрак к варнакам, находящимся ";"в";" ";"бегах с запасом знаний ловко отыскивать";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Составляя приятную приправу к ужину инородцев, поспевают эти клубни на обед и завтрак к варнакам, находящимся в бегах с запасом знаний ловко отыскивать подземные постройки запасливой мыши, чтобы воспользоваться добром, собранным ее трудами. ";"65590:2749:16"
" огонм хичобар хиксдоваз хиовс( театсоден кур";"в";"рук недостает (своих заводских рабочих много ";"в";" ";"бегах), заводское начальство командировало солдат для";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"В тех только случаях, когда губернское начальство, например, казенная палата, задаст большой заказ на вино или соль, а рабочих рук недостает (своих заводских рабочих много в бегах), заводское начальство командировало солдат для осмотра соседних заимок и от этого маневра было всегда в барышах. ";"65590:3142:25"
" илов и яинешету илакси еыньлысс еылему";"в";"умелые ссыльные искали утешения и воли ";"в";" ";"бегах; несчастные и меньше опытные оставались";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Счастливые и умелые ссыльные искали утешения и воли в бегах; несчастные и меньше опытные оставались в руках начальства, подчиняясь различным опытам исправления. ";"65590:3367:8"
" олам елед момас ан ;ихулс окьлот";"в";"только слухи; на самом деле мало ";"в";" ";"бегах женщин потому, что их разбирают";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Впрочем, это только слухи; на самом деле мало в бегах женщин потому, что их разбирают замуж нарасхват. ";"65590:3499:8"
" ьнзиж яаньлов теянзалбос и агротак алеодан";"в";"надоела каторга и соблазняет вольная жизнь ";"в";" ";"бегах и бродяжестве. ";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"В теребиловки идет всякий из тех тюремных, которому надоела каторга и соблазняет вольная жизнь в бегах и бродяжестве. ";"65590:3510:14"
