"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" лагырп окволен и окосыв ,адгесв как";"ан";"как всегда, высоко и неловко прыгал ";"на";" ";"бегу. ";"Юрий Казаков. Арктур ― гончий пес (1957)";"Юрий Казаков";"1927";"Арктур ― гончий пес";"1957";"художественная";"рассказ";"";"Избранное: Рассказы. Северный дневник";"1985";"книга";"омонимия не снята";"468";"5783";"н-возраст";"н-уровень";"большая";"Он шел немного стороной от следа, беспрестанно и зло подавал голос и, как всегда, высоко и неловко прыгал на бегу. ";"23087:329:18"
"";"аН";"";"На";" ";"бегу Оська пошарил за пазухой и";"А. И. Мусатов. Большая весна (1957)";"А. И. Мусатов";"1911";"Большая весна";"1957";"художественная";"повесть";"";"Собрание сочинений в 3-х томах. Т. 3";"1978";"книга";"омонимия не снята";"9168";"82846";"подростковый";"н-уровень";"очень большая";"На бегу Оська пошарил за пазухой и выругался: обреза не было ― он оставил его в санях, под мешками. ";"23375:9050:0"
" ьсяажевсо ,илавецнат ынемстропс итэ авыререп зеб";"ан";"без перерыва эти спортсмены танцевали, освежаясь ";"на";" ";"бегу апельсиновым соком и мороженым. ";"Р. Г. Назиров. Дневниковые записи (1957)";"Р. Г. Назиров";"1934";"Дневниковые записи";"1957";"бытовая | нехудожественная";"дневник, записные книжки";"частная жизнь | искусство и культура";"Публ. Б. Орехова // Назировский архив. 2015. № 1. С.";"2015";"прочая печатная продукция";"омонимия не снята";"3707";"42491";"н-возраст";"н-уровень";"личная";"Сто восемь часов без перерыва эти спортсмены танцевали, освежаясь на бегу апельсиновым соком и мороженым. ";"20897:2556:9"
" ,муш ан яслуник но ,атамотва мелетинарходерп";"ан";"предохранителем автомата, он кинулся на шум, ";"на";" ";"бегу ощупывая за поясом гранату. ";"Аркадий Стругацкий, Борис Стругацкий. Страна багровых туч (1952-1957)";"Аркадий Стругацкий | Борис Стругацкий";"1925|1933";"Страна багровых туч";"1952-1957";"художественная";"роман";"";"";"2004";"книга";"омонимия не снята";"9369";"76139";"н-возраст";"н-уровень";"очень большая";"Щелкнув предохранителем автомата, он кинулся на шум, на бегу ощупывая за поясом гранату. ";"24394:6852:7"
" ертсес ахичарв алазакс ― »!итсонварпси в ен";"ан";"не в исправности!» ― сказала врачиха сестре ";"на";" ";"бегу. ";"Л. К. Чуковская. Спуск под воду (1949-1957)";"Л. К. Чуковская";"1907";"Спуск под воду";"1949-1957";"художественная";"повесть";"";"Нью-Йорк: Изд-во имени Чехова, 1972";"1972";"книга";"омонимия не снята";"3159";"28556";"н-возраст";"н-уровень";"большая";"Отчего же это у него звонок не в исправности!» ― сказала врачиха сестре на бегу. ";"73635:1310:12"
" лилертсыв ,уднерутК ан вунялгзв ен ежад";"ан";"даже не взглянув на Ктуренду, выстрелил ";"на";" ";"бегу в его сторону. ";"К. Г. Паустовский. Повесть о жизни. Начало неведомого века (1956)";"К. Г. Паустовский";"1892";"Повесть о жизни. Начало неведомого века";"1956";"художественная";"роман";"";"Паустовский К. Г. Повесть о жизни. Кн. 1-3";"2007";"книга";"омонимия не снята";"5295";"57078";"н-возраст";"н-уровень";"большая";"Человек, бежавший сзади, поднял пистолет и, не целясь и даже не взглянув на Ктуренду, выстрелил на бегу в его сторону. ";"23551:3278:15"
" яавывоссар овилпорот от-отч и ьсяаризо ,илажеб";"ан";"бежали, озираясь и что-то торопливо рассовывая ";"на";" ";"бегу по карманам. ";"К. Г. Паустовский. Повесть о жизни. Начало неведомого века (1956)";"К. Г. Паустовский";"1892";"Повесть о жизни. Начало неведомого века";"1956";"художественная";"роман";"";"Паустовский К. Г. Повесть о жизни. Кн. 1-3";"2007";"книга";"омонимия не снята";"5295";"57078";"н-возраст";"н-уровень";"большая";"Но петлюровцы не обращали на эти крики внимания и бежали, озираясь и что-то торопливо рассовывая на бегу по карманам. ";"23551:4159:15"
"";"аН";"";"На";" ";"бегу передал Земцову свой автомат, а";"И. Ф. Стаднюк. Максим Перепелица (1956)";"И. Ф. Стаднюк";"1920";"Максим Перепелица";"1956";"художественная";"повесть";"";"Стаднюк И. Ф. Максим Перепелица";"1956";"книга";"омонимия не снята";"7240";"54195";"н-возраст";"н-уровень";"большая";"На бегу передал Земцову свой автомат, а его оружие закинул за свое плечо. ";"24369:3323:0"
" но лавиравогзар ― …укшаб юувобуд ьшебишорп ен";"ан";"не прошибешь дубовую башку… ― разговаривал он ";"на";" ";"бегу. ";"Владимир Тендряков. Ухабы (1956)";"Владимир Тендряков";"1923";"Ухабы";"1956";"художественная";"повесть";"";"Владимир Тендряков. Собр. соч., т.1";"1978";"книга";"омонимия не снята";"1593";"12821";"н-возраст";"н-уровень";"большая";"Под дулом пистолета прикажи, коли словом не прошибешь дубовую башку… ― разговаривал он на бегу. ";"24449:1125:12"
" и хакулбак хикосыв ан ецилу оп";"ан";"по улице на высоких каблуках и ";"на";" ";"бегу рассказала тете Паше, что идет";"В. Ф. Панова. Сережа (1955)";"В. Ф. Панова";"1905";"Сережа";"1955";"художественная";"повесть";"";"Панова В. Ф. Собр. соч.: В 5 т. Т. 3";"1987";"книга";"омонимия не снята";"3095";"26499";"н-возраст";"н-уровень";"большая";"Васькина мать пробежала по улице на высоких каблуках и на бегу рассказала тете Паше, что идет за коньяком, Костя кроме коньяка ничего не пьет. ";"23536:1952:9"
" ,апаК яанзеьреС";"ан";"Серьезная Капа, ";"на";" ";"бегу тряся отвисшей губой, побежала, принесла";"В. Ф. Панова. Сережа (1955)";"В. Ф. Панова";"1905";"Сережа";"1955";"художественная";"повесть";"";"Панова В. Ф. Собр. соч.: В 5 т. Т. 3";"1987";"книга";"омонимия не снята";"3095";"26499";"н-возраст";"н-уровень";"большая";"Серьезная Капа, на бегу тряся отвисшей губой, побежала, принесла полотенце и через головы перебросила Валерию. ";"23536:2103:2"
