"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" алишер ано и ― ,гелО готи левдоп";"ясьтасапс";"подвел итог Олег, ― и она решила ";"спасаться";" ";"бегством. ";"Дарья Донцова. Микстура от косоглазия (2003)";"Дарья Донцова";"1952";"Микстура от косоглазия";"2003";"художественная";"роман";"";"Дарья Донцова. Микстура от косоглазия";"2003";"книга";"омонимия не снята";"8911";"77712";"н-возраст";"н-уровень";"очень большая";"У Елены Тимофеевны при виде тебя сдали нервы, ― подвел итог Олег, ― и она решила спасаться бегством. ";"33863:8742:14"
" неджуныв лыб но и ,ырдефак с";"ясьтасапс";"с кафедры, и он был вынужден ";"спасаться";" ";"бегством, чтобы не быть убитым. ";"митрополит Питирим (Нечаев). Русь уходящая (1993-2003)";"митрополит Питирим (Нечаев)";"1926";"Русь уходящая";"1993-2003";"публицистика | нехудожественная";"мемуары";"частная жизнь | история | религия";"Питирим (Нечаев), митрополит. Русь уходящая: Рассказы митрополита";"2007";"книга";"омонимия не снята";"8052";"107251";"н-возраст";"н-уровень";"большая";"Потом он стал архиепископом александрийским, но его трижды изгоняли с кафедры, и он был вынужден спасаться бегством, чтобы не быть убитым. ";"23353:5262:15"
" или ,ясьтащищаз уме умомас ,втсьлетяотсбо то";"ясьтасапс";"от обстоятельств, самому ему защищаться, или ";"спасаться";" ";"бегством, или искать защиты у правоохранительных";"Сергей Мазур. Нам тоже можно (2002) // «Домовой», 04.10.2002";"Сергей Мазур";"";"Нам тоже можно";"2002";"публицистика | нехудожественная";"интервью";"право";"«Домовой»";"04.10.2002";"журнал";"омонимия не снята";"127";"1603";"н-возраст";"н-уровень";"большая";"Кстати, по нашему закону человек имеет свободу выбора ― он может сам решать в зависимости от обстоятельств, самому ему защищаться, или спасаться бегством, или искать защиты у правоохранительных органов. ";"32280:101:20"
" олиотс елед момас в жу туТ";"ясьтасапс";"Тут уж в самом деле стоило ";"спасаться";" ";"бегством. ";"Алексей Мунипов. Адамо не раскачал публику (2002) // «Известия», 22.09.2002";"Алексей Мунипов";"";"Адамо не раскачал публику";"2002";"публицистика | нехудожественная";"статья";"искусство и культура";"«Известия»";"22.09.2002";"газета";"омонимия не снята";"20";"372";"н-возраст";"н-уровень";"большая";"Тут уж в самом деле стоило спасаться бегством. ";"29686:14:6"
" ончорс олыб онжун от-ещбооВ";"ясьтасапс";"Вообще-то нужно было срочно ";"спасаться";" ";"бегством или обретать христианскую любовь к";"Дарья Симонова. Шанкр (2002)";"Дарья Симонова";"1972";"Шанкр";"2002";"художественная";"повесть";"";"Дарья Симонова. Половецкие пляски";"2002";"книга";"омонимия не снята";"2356";"25976";"н-возраст";"н-уровень";"большая";"Вообще-то нужно было срочно спасаться бегством или обретать христианскую любовь к врагам своим. ";"24234:1155:5"
" угам умоннепетсенв ил онйотсоД";"ясьтасапс";"Достойно ли внестепенному магу ";"спасаться";" ";"бегством от банды головорезов?  ";"Марина Дяченко, Сергей Дяченко. Магам можно все (2001)";"Марина Дяченко | Сергей Дяченко";"1968|1945";"Магам можно все";"2001";"художественная";"роман";"";"Марина и Сергей Дяченко. Привратник";"";"книга";"омонимия не снята";"9556";"92392";"н-возраст";"н-уровень";"очень большая";"Достойно ли внестепенному магу спасаться бегством от банды головорезов?  ";"22591:5507:4"
" ьсолширп ухаш ,йеицюловер йоннечавхо ,ынартс зи";"ясьтасапс";"из страны, охваченной революцией, шаху пришлось ";"спасаться";" ";"бегством. ";"Владислав Быков, Ольга Деркач. Книга века (2000)";"Владислав Быков | Ольга Деркач";"";"Книга века";"2000";"публицистика | нехудожественная";"монография";"политика и общественная жизнь";"Быков В., Деркач В. В. Книга века";"2001";"книга";"омонимия не снята";"16796";"197611";"н-возраст";"н-уровень";"большая";"Тридцать восьмой год правления шаха Ирана Мохаммеда Реза Пехлеви оказался для него последним: из страны, охваченной революцией, шаху пришлось спасаться бегством. ";"35984:13270:19"
" :ешчул отч ,яащюялшымзар ежу и »акеволеч";"ясьтасапс";"человека» и уже размышляющая, что лучше: ";"спасаться";" ";"бегством или, напротив, броситься к двери";"Е. Ю. Каминский. Чудотворец. Повесть о сироте // «Волга», 2000";"Е. Ю. Каминский";"1957";"Чудотворец. Повесть о сироте";"2000";"художественная";"повесть";"";"«Волга»";"2000";"журнал";"омонимия не снята";"134";"1995";"н-возраст";"н-уровень";"большая";"На лестничной площадке, с которой стенающий Пескарёв-Лазарев не спускал глаз до самого окончания сделки, рискуя получить плевок в объектив или удар ногой в дверь, появлялась допотопная мадам с тёмным лицом гадалки, грубо, словно тупым топором, обструганном старостью, испуганно смотрящая на «молодого человека» и уже размышляющая, что лучше: спасаться бегством или, напротив, броситься к двери Семёна и громким голосом звать его на помощь… ";"61444:121:48"
" неджуныв но адгок ,тнемом теапутсан акинжодух";"ясьтасапс";"художника наступает момент, когда он вынужден ";"спасаться";" ";"бегством от суда собственного народа, ― чтобы";"Дина Рубина. Воскресная месса в Толедо (2000)";"Дина Рубина";"1953";"Воскресная месса в Толедо";"2000";"художественная";"очерк";"";"Дина Рубина. «Воскресная месса в Толедо»";"2002";"книга";"омонимия не снята";"860";"12497";"н-возраст";"н-уровень";"большая";"А может быть, в жизни каждого настоящего художника наступает момент, когда он вынужден спасаться бегством от суда собственного народа, ― чтобы вернуться после смерти?  ";"53038:510:13"
" оньлавкуб алыб анеджуныв анвеерднА яьфоС ,учертсв";"ясьтасапс";"встречу, Софья Андреевна вынуждена была буквально ";"спасаться";" ";"бегством от этих перекошенных плечиков и";"Ольга Славникова. Стрекоза, увеличенная до размеров собаки (1995-1999)";"Ольга Славникова";"1957";"Стрекоза, увеличенная до размеров собаки";"1995-1999";"художественная";"роман";"";"Славникова О. Стрекоза, увеличенная до размеров собаки";"1999";"книга";"омонимия не снята";"4692";"147845";"н-возраст";"н-уровень";"большая";"Чтобы не длить оскорбительную встречу, Софья Андреевна вынуждена была буквально спасаться бегством от этих перекошенных плечиков и стиснутых пакетов с продуктами, от треска ломаемых там макарон. ";"53786:1531:10"
